,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2)
273,lh_parsopercularis_area,FS_IntraCranial_Vol,-0.03649539216319586,0.97397126230387,0.34473204345494235,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.0019374871057619147
274,lh_parsopercularis_area,IDP (feature),-0.07209214627531564,0.4278814865082639,0.0613383554995639,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.008387224346070088
275,lh_parsopercularis_area,FS_IntraCranial_Vol,-0.03279995587544618,0.4190036204939235,0.3942238364862183,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.008387224346070088
276,lh_parsopercularis_thickness,IDP (feature),-0.008194053867884474,0.9741932204165091,0.8127092671459919,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0008207140109814937
277,lh_parsopercularis_thickness,FS_IntraCranial_Vol,-0.027159491864330126,0.7166184688796716,0.43234248714442725,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0008207140109814937
278,lh_parsopercularis_thickness,IDP (feature),-0.08051746986489726,0.14662975695425137,0.019735487624773063,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.006730872678580968
279,lh_parsopercularis_thickness,FS_IntraCranial_Vol,-0.013121305054119042,0.97397126230387,0.7035582563053819,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.006730872678580968
280,lh_parsopercularis_thickness,IDP (feature),-0.006299769763662294,0.9579104364318148,0.8552098570230602,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.004268183517820212
281,lh_parsopercularis_thickness,FS_IntraCranial_Vol,-0.06480176093497544,0.13203522794554134,0.06078532958192806,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.004268183517820212
282,lh_parsopercularis_volume,IDP (feature),0.011817232867862498,0.9669768715008469,0.7544880109377556,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0008704761814968265
283,lh_parsopercularis_volume,FS_IntraCranial_Vol,-0.03223072576645351,0.7166184688796716,0.3937801251190116,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0008704761814968265
284,lh_parsopercularis_volume,IDP (feature),0.00010687962345118576,0.998374621585749,0.9977438741454467,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.00025612737444968836
285,lh_parsopercularis_volume,FS_IntraCranial_Vol,-0.01604689459962709,0.97397126230387,0.6711877765527463,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.00025612737444968836
286,lh_parsopercularis_volume,IDP (feature),-0.06855520643139515,0.4278814865082639,0.06889185790687091,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.008160076113659542
287,lh_parsopercularis_volume,FS_IntraCranial_Vol,-0.03730928158395744,0.3542059295445993,0.3218322693174047,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.008160076113659542
288,lh_parsorbitalis_area,IDP (feature),-0.0328087225469625,0.8877340983144629,0.4773463643739895,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0013566304835540555
289,lh_parsorbitalis_area,FS_IntraCranial_Vol,-0.005694162847183671,0.9371026157040967,0.9018353129625447,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.0013566304835540555
290,lh_parsorbitalis_area,IDP (feature),-0.015209557641719995,0.8780274639835315,0.7419363052074055,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.0003857021082787071
291,lh_parsorbitalis_area,FS_IntraCranial_Vol,-0.00591674163547308,0.979241335460516,0.898068033807975,dsm5_scale1,['FS_IntraCranial_Vol'],HCP_Development,0.0003857021082787071
292,lh_parsorbitalis_area,IDP (feature),0.031247723836441487,0.8290557111242756,0.4978101774456163,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.004775507775355292
293,lh_parsorbitalis_area,FS_IntraCranial_Vol,-0.08575069164770843,0.13203522794554134,0.0630624726026936,upps_neg,['FS_IntraCranial_Vol'],HCP_Development,0.004775507775355292
294,lh_parsorbitalis_thickness,IDP (feature),0.020330373756133658,0.9161200028689774,0.5588982492286529,cbcl_anx_dep,['FS_IntraCranial_Vol'],HCP_Development,0.001161652995458673
